school_year,school_year_offset,sis_user_id,student_label,grade_level,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,attendance_category,attendance_probability,boy_assignment_label,eoy_assignment_label,boy_score,eoy_score,present_boy,present_eoy,modeled_eoy_growth_delta,posterior_readiness_after_eoy,latent_readiness_after_boy,latent_readiness_after_eoy,latent_eoy_transition_delta,eoy_generation_mode,eoy_transition_type,eoy_academic_profile_status,observed_growth_delta,academic_profile_status
2029-2030,4,SYN-SIS-000568,Synthetic Student 568,9,MATH-ALG2-H,Honors Algebra 2,honors,Y04-SEC-011,Honors Algebra 2 - Synthetic Section 05-11,TCH-003,Teacher 03,high,0.9964,Assignment 09,Assignment 10,43.38,47.82,true,true,4.44,47.3769,43.26,50.3884,7.1284,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_10,4.439999999999998,updated_assignment_10
2030-2031,5,SYN-SIS-000349,Synthetic Student 349,12,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-013,AP Precalculus - Synthetic Section 06-13,TCH-004,Teacher 04,normal,0.9039,Assignment 11,Assignment 12,56.39,57.29,true,true,0.9,57.2217,57.6413,60.6564,3.0151,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,0.8999999999999986,updated_assignment_12
2030-2031,5,SYN-SIS-000356,Synthetic Student 356,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-023,AP Calculus BC - Synthetic Section 06-23,TCH-005,Teacher 05,normal,0.8783,Assignment 11,Assignment 12,87.45,94.07,true,true,6.62,92.1608,86.4541,88.8116,2.3575,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,6.61999999999999,updated_assignment_12
2030-2031,5,SYN-SIS-000359,Synthetic Student 359,12,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-013,AP Precalculus - Synthetic Section 06-13,TCH-004,Teacher 04,at_risk,0.7532,Assignment 11,Assignment 12,74.02,76.63,true,true,2.61,75.7452,74.6918,78.9754,4.2836,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,2.6099999999999994,updated_assignment_12
2030-2031,5,SYN-SIS-000368,Synthetic Student 368,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-024,AP Calculus BC - Synthetic Section 06-24,TCH-005,Teacher 05,high,0.9534,Assignment 11,Assignment 12,53.21,48.59,true,true,-4.62,49.3303,49.3823,56.3821,6.9998,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,-4.619999999999997,updated_assignment_12
2030-2031,5,SYN-SIS-000369,Synthetic Student 369,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-024,AP Calculus BC - Synthetic Section 06-24,TCH-005,Teacher 05,high,0.9432,Assignment 11,Assignment 12,51.79,56.62,true,true,4.83,56.0011,51.2163,55.3932,4.1769,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,4.829999999999998,updated_assignment_12
2030-2031,5,SYN-SIS-000375,Synthetic Student 375,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-023,AP Calculus BC - Synthetic Section 06-23,TCH-005,Teacher 05,at_risk,0.5934,Assignment 11,Assignment 12,88.32,84.03,true,true,-4.29,83.6853,87.9496,88.7091,0.7595,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,-4.289999999999992,updated_assignment_12
2030-2031,5,SYN-SIS-000387,Synthetic Student 387,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-023,AP Calculus BC - Synthetic Section 06-23,TCH-005,Teacher 05,at_risk,0.7326,Assignment 11,Assignment 12,49.83,47.43,true,true,-2.4,47.8578,47.9847,52.5887,4.604,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,-2.3999999999999986,updated_assignment_12
2030-2031,5,SYN-SIS-000397,Synthetic Student 397,12,MATH-PRECALC,Precalculus,regular,Y05-SEC-016,Precalculus - Synthetic Section 06-16,TCH-003,Teacher 03,high,0.9846,Assignment 11,Assignment 12,25.41,29.4,true,true,3.99,29.5417,27.6677,33.7035,6.0358,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,3.9899999999999984,updated_assignment_12
2030-2031,5,SYN-SIS-000402,Synthetic Student 402,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y05-SEC-023,AP Calculus BC - Synthetic Section 06-23,TCH-005,Teacher 05,normal,0.8746,Assignment 11,Assignment 12,0.0,85.35,false,true,6.09,83.6085,78.7147,84.3711,5.6564,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,,updated_assignment_12
2030-2031,5,SYN-SIS-000407,Synthetic Student 407,12,MATH-PRECALC,Precalculus,regular,Y05-SEC-016,Precalculus - Synthetic Section 06-16,TCH-003,Teacher 03,high,0.9867,Assignment 11,Assignment 12,52.34,50.19,true,true,-2.15,50.4732,47.2602,47.8428,0.5826,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,-2.1500000000000057,updated_assignment_12
2030-2031,5,SYN-SIS-000423,Synthetic Student 423,11,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-013,AP Precalculus - Synthetic Section 06-13,TCH-004,Teacher 04,normal,0.9039,Assignment 11,Assignment 12,85.09,91.2,true,true,6.11,89.5047,91.0283,90.5061,-0.5222,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,6.109999999999999,updated_assignment_12
2030-2031,5,SYN-SIS-000433,Synthetic Student 433,11,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-015,AP Precalculus - Synthetic Section 06-15,TCH-004,Teacher 04,normal,0.9363,Assignment 11,Assignment 12,71.96,0.0,true,false,,,68.8462,73.8106,4.9644,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2030-2031,5,SYN-SIS-000439,Synthetic Student 439,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y05-SEC-021,AP Calculus AB - Synthetic Section 06-21,TCH-005,Teacher 05,normal,0.9439,Assignment 11,Assignment 12,41.77,0.0,true,false,,,42.9935,46.4453,3.4518,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2030-2031,5,SYN-SIS-000443,Synthetic Student 443,11,MATH-PRECALC,Precalculus,regular,Y05-SEC-016,Precalculus - Synthetic Section 06-16,TCH-003,Teacher 03,high,0.9909,Assignment 11,Assignment 12,51.6,55.7,true,true,4.1,55.1081,55.548,60.2959,4.7479,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,4.100000000000001,updated_assignment_12
2030-2031,5,SYN-SIS-000446,Synthetic Student 446,11,MATH-PRECALC,Precalculus,regular,Y05-SEC-016,Precalculus - Synthetic Section 06-16,TCH-003,Teacher 03,high,0.991,Assignment 11,Assignment 12,36.09,46.54,true,true,10.45,45.2137,34.0185,39.5578,5.5393,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,10.449999999999996,updated_assignment_12
2030-2031,5,SYN-SIS-000461,Synthetic Student 461,11,MATH-PRECALC,Precalculus,regular,Y05-SEC-017,Precalculus - Synthetic Section 06-17,TCH-004,Teacher 04,normal,0.8421,Assignment 11,Assignment 12,47.58,58.94,true,true,11.36,57.3282,50.1396,55.0635,4.9239,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,11.36,updated_assignment_12
2030-2031,5,SYN-SIS-000465,Synthetic Student 465,11,MATH-PRECALC,Precalculus,regular,Y05-SEC-018,Precalculus - Synthetic Section 06-18,TCH-003,Teacher 03,high,0.9574,Assignment 11,Assignment 12,28.27,38.24,true,true,9.97,37.2519,30.3345,36.9343,6.5998,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,9.970000000000002,updated_assignment_12
2030-2031,5,SYN-SIS-000469,Synthetic Student 469,11,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-015,AP Precalculus - Synthetic Section 06-15,TCH-004,Teacher 04,normal,0.915,Assignment 11,Assignment 12,62.93,66.98,true,true,4.05,66.0909,59.4461,63.7329,4.2868,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,4.050000000000004,updated_assignment_12
2030-2031,5,SYN-SIS-000471,Synthetic Student 471,11,MATH-PRECALC,Precalculus,regular,Y05-SEC-017,Precalculus - Synthetic Section 06-17,TCH-004,Teacher 04,normal,0.9068,Assignment 11,Assignment 12,38.58,0.0,true,false,,,38.1808,42.3066,4.1258,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2030-2031,5,SYN-SIS-000475,Synthetic Student 475,11,MATH-ALG2-H,Honors Algebra 2,honors,Y05-SEC-010,Honors Algebra 2 - Synthetic Section 06-10,TCH-003,Teacher 03,high,0.9756,Assignment 11,Assignment 12,67.02,72.01,true,true,4.99,70.8456,67.0674,71.1315,4.0641,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,4.990000000000009,updated_assignment_12
2030-2031,5,SYN-SIS-000479,Synthetic Student 479,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y05-SEC-021,AP Calculus AB - Synthetic Section 06-21,TCH-005,Teacher 05,normal,0.9331,Assignment 11,Assignment 12,53.93,55.18,true,true,1.25,54.9512,51.5935,61.3953,9.8018,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,1.25,updated_assignment_12
2030-2031,5,SYN-SIS-000484,Synthetic Student 484,11,MATH-PRECALC,Precalculus,regular,Y05-SEC-017,Precalculus - Synthetic Section 06-17,TCH-004,Teacher 04,high,0.9843,Assignment 11,Assignment 12,20.68,32.0,true,true,11.32,31.0953,25.3976,24.7362,-0.6614,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,11.32,updated_assignment_12
2030-2031,5,SYN-SIS-000505,Synthetic Student 505,10,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-014,AP Precalculus - Synthetic Section 06-14,TCH-004,Teacher 04,normal,0.9492,Assignment 11,Assignment 12,40.08,53.12,true,true,13.04,51.4857,42.4639,50.8124,8.3485,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,13.04,updated_assignment_12
2030-2031,5,SYN-SIS-000522,Synthetic Student 522,10,MATH-ALG2,Algebra 2,regular,Y05-SEC-008,Algebra 2 - Synthetic Section 06-08,TCH-002,Teacher 02,normal,0.9099,Assignment 11,Assignment 12,35.89,46.41,true,true,10.52,45.1055,32.1905,45.2816,13.0911,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,10.519999999999996,updated_assignment_12
2030-2031,5,SYN-SIS-000525,Synthetic Student 525,10,MATH-GEOM,Geometry,regular,Y05-SEC-005,Geometry - Synthetic Section 06-05,TCH-001,Teacher 01,high,0.9885,Assignment 11,Assignment 12,44.35,54.7,true,true,10.35,53.2182,48.1519,52.8376,4.6857,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,10.350000000000001,updated_assignment_12
2030-2031,5,SYN-SIS-000534,Synthetic Student 534,10,MATH-ALG2,Algebra 2,regular,Y05-SEC-007,Algebra 2 - Synthetic Section 06-07,TCH-002,Teacher 02,normal,0.9275,Assignment 11,Assignment 12,0.0,51.0,false,true,-7.05,51.6259,48.7863,52.1791,3.3928,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,,updated_assignment_12
2030-2031,5,SYN-SIS-000541,Synthetic Student 541,10,MATH-GEOM,Geometry,regular,Y05-SEC-003,Geometry - Synthetic Section 06-03,TCH-001,Teacher 01,high,0.9951,Assignment 11,Assignment 12,42.67,45.39,true,true,2.72,45.0467,38.4558,44.5091,6.0533,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,2.719999999999999,updated_assignment_12
2030-2031,5,SYN-SIS-000551,Synthetic Student 551,10,MATH-AP-PRECALC,AP Precalculus,ap,Y05-SEC-014,AP Precalculus - Synthetic Section 06-14,TCH-004,Teacher 04,normal,0.9398,Assignment 11,Assignment 12,58.94,70.65,true,true,11.71,68.7059,59.0596,66.7785,7.7189,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,11.710000000000008,updated_assignment_12
2030-2031,5,SYN-SIS-000552,Synthetic Student 552,10,MATH-GEOM,Geometry,regular,Y05-SEC-004,Geometry - Synthetic Section 06-04,TCH-002,Teacher 02,high,0.9878,Assignment 11,Assignment 12,56.05,65.44,true,true,9.39,63.8584,61.5945,65.8865,4.292,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,9.39,updated_assignment_12
2030-2031,5,SYN-SIS-000553,Synthetic Student 553,10,MATH-ALG2,Algebra 2,regular,Y05-SEC-006,Algebra 2 - Synthetic Section 06-06,TCH-002,Teacher 02,high,0.9877,Assignment 11,Assignment 12,45.07,55.47,true,true,10.4,53.9929,47.6023,57.6524,10.0501,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,10.399999999999999,updated_assignment_12
2030-2031,5,SYN-SIS-000596,Synthetic Student 596,9,MATH-ALG2-H,Honors Algebra 2,honors,Y05-SEC-010,Honors Algebra 2 - Synthetic Section 06-10,TCH-003,Teacher 03,normal,0.9362,Assignment 11,Assignment 12,15.76,25.65,true,true,9.89,25.5693,16.63,28.3067,11.6767,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,9.889999999999999,updated_assignment_12
2030-2031,5,SYN-SIS-000597,Synthetic Student 597,9,MATH-GEOM,Geometry,regular,Y05-SEC-003,Geometry - Synthetic Section 06-03,TCH-001,Teacher 01,normal,0.8815,Assignment 11,Assignment 12,0.0,32.91,false,true,,34.786,29.87,39.4057,9.5357,first_present_evidence_from_latent,initialize_readiness,initialized_assignment_12,,initialized_assignment_12
2030-2031,5,SYN-SIS-000629,Synthetic Student 629,9,MATH-ALG2-H,Honors Algebra 2,honors,Y05-SEC-010,Honors Algebra 2 - Synthetic Section 06-10,TCH-003,Teacher 03,normal,0.8943,Assignment 11,Assignment 12,71.95,0.0,true,false,,,69.25,73.8573,4.6073,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2030-2031,5,SYN-SIS-000632,Synthetic Student 632,9,MATH-GEOM,Geometry,regular,Y05-SEC-002,Geometry - Synthetic Section 06-02,TCH-002,Teacher 02,normal,0.9453,Assignment 11,Assignment 12,77.0,74.77,true,true,-2.23,73.7163,76.71,80.819,4.109,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,-2.230000000000004,updated_assignment_12
2030-2031,5,SYN-SIS-000633,Synthetic Student 633,9,MATH-ALG2-H,Honors Algebra 2,honors,Y05-SEC-011,Honors Algebra 2 - Synthetic Section 06-11,TCH-003,Teacher 03,normal,0.9149,Assignment 11,Assignment 12,51.83,65.49,true,true,13.66,63.2466,56.97,62.3975,5.4275,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_12,13.659999999999997,updated_assignment_12
2031-2032,6,SYN-SIS-000419,Synthetic Student 419,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-018,AP Calculus AB - Synthetic Section 07-18,TCH-005,Teacher 05,normal,0.8507,Assignment 13,Assignment 14,56.67,61.64,true,true,4.97,60.7855,55.8259,56.5447,0.7188,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,4.969999999999999,updated_assignment_14
2031-2032,6,SYN-SIS-000441,Synthetic Student 441,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-018,AP Calculus AB - Synthetic Section 07-18,TCH-005,Teacher 05,normal,0.8997,Assignment 13,Assignment 14,30.26,45.76,true,true,15.5,44.1695,35.5088,42.7916,7.2828,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,15.499999999999996,updated_assignment_14
2031-2032,6,SYN-SIS-000452,Synthetic Student 452,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-020,AP Calculus AB - Synthetic Section 07-20,TCH-005,Teacher 05,high,0.9769,Assignment 13,Assignment 14,53.37,54.44,true,true,1.07,54.3615,53.7564,56.6817,2.9253,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,1.0700000000000003,updated_assignment_14
2031-2032,6,SYN-SIS-000456,Synthetic Student 456,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y06-SEC-022,AP Calculus BC - Synthetic Section 07-22,TCH-005,Teacher 05,normal,0.9543,Assignment 13,Assignment 14,59.56,63.94,true,true,4.38,63.1666,57.9987,62.4976,4.4989,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,4.3799999999999955,updated_assignment_14
2031-2032,6,SYN-SIS-000462,Synthetic Student 462,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y06-SEC-023,AP Calculus BC - Synthetic Section 07-23,TCH-005,Teacher 05,high,0.9779,Assignment 13,Assignment 14,70.07,72.62,true,true,2.55,71.932,72.356,71.6807,-0.6753,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,2.5500000000000114,updated_assignment_14
2031-2032,6,SYN-SIS-000463,Synthetic Student 463,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y06-SEC-022,AP Calculus BC - Synthetic Section 07-22,TCH-005,Teacher 05,normal,0.9616,Assignment 13,Assignment 14,51.94,54.96,true,true,3.02,54.7374,54.7417,57.2229,2.4812,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,3.020000000000003,updated_assignment_14
2031-2032,6,SYN-SIS-000464,Synthetic Student 464,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-020,AP Calculus AB - Synthetic Section 07-20,TCH-005,Teacher 05,normal,0.8672,Assignment 13,Assignment 14,43.53,0.0,true,false,,,50.0743,52.0852,2.0109,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2031-2032,6,SYN-SIS-000467,Synthetic Student 467,12,MATH-PRECALC,Precalculus,regular,Y06-SEC-016,Precalculus - Synthetic Section 07-16,TCH-004,Teacher 04,normal,0.9356,Assignment 13,Assignment 14,26.81,30.12,true,true,3.31,30.1673,25.963,27.0685,1.1055,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,3.3100000000000023,updated_assignment_14
2031-2032,6,SYN-SIS-000472,Synthetic Student 472,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-019,AP Calculus AB - Synthetic Section 07-19,TCH-005,Teacher 05,high,0.9974,Assignment 13,Assignment 14,79.15,80.54,true,true,1.39,79.6218,73.6477,79.8784,6.2307,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,1.3900000000000006,updated_assignment_14
2031-2032,6,SYN-SIS-000473,Synthetic Student 473,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-018,AP Calculus AB - Synthetic Section 07-18,TCH-005,Teacher 05,normal,0.8964,Assignment 13,Assignment 14,55.86,67.92,true,true,12.06,66.0908,54.1122,61.883,7.7708,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,12.060000000000002,updated_assignment_14
2031-2032,6,SYN-SIS-000474,Synthetic Student 474,12,MATH-PRECALC,Precalculus,regular,Y06-SEC-015,Precalculus - Synthetic Section 07-15,TCH-003,Teacher 03,high,0.9759,Assignment 13,Assignment 14,40.26,49.52,true,true,9.26,48.4481,41.7195,42.7205,1.001,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,9.260000000000005,updated_assignment_14
2031-2032,6,SYN-SIS-000482,Synthetic Student 482,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y06-SEC-018,AP Calculus AB - Synthetic Section 07-18,TCH-005,Teacher 05,normal,0.9502,Assignment 13,Assignment 14,73.73,73.14,true,true,-0.59,72.7262,72.4943,73.036,0.5417,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,-0.5900000000000034,updated_assignment_14
2031-2032,6,SYN-SIS-000513,Synthetic Student 513,11,MATH-PRECALC,Precalculus,regular,Y06-SEC-015,Precalculus - Synthetic Section 07-15,TCH-003,Teacher 03,normal,0.9489,Assignment 13,Assignment 14,7.88,15.15,true,true,7.27,15.2266,9.532,20.4517,10.9197,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,7.2700000000000005,updated_assignment_14
2031-2032,6,SYN-SIS-000522,Synthetic Student 522,11,MATH-PRECALC,Precalculus,regular,Y06-SEC-017,Precalculus - Synthetic Section 07-17,TCH-003,Teacher 03,normal,0.9099,Assignment 13,Assignment 14,41.66,45.59,true,true,3.93,45.2227,41.1163,49.0034,7.8871,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,3.930000000000007,updated_assignment_14
2031-2032,6,SYN-SIS-000526,Synthetic Student 526,11,MATH-ALG2-H,Honors Algebra 2,honors,Y06-SEC-009,Honors Algebra 2 - Synthetic Section 07-09,TCH-003,Teacher 03,normal,0.9293,Assignment 13,Assignment 14,82.89,81.28,true,true,-1.61,80.7253,78.7021,83.0951,4.393,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,-1.6099999999999994,updated_assignment_14
2031-2032,6,SYN-SIS-000543,Synthetic Student 543,11,MATH-ALG2,Algebra 2,regular,Y06-SEC-007,Algebra 2 - Synthetic Section 07-07,TCH-002,Teacher 02,normal,0.8791,Assignment 13,Assignment 14,41.64,43.39,true,true,1.75,43.2641,40.3727,43.3848,3.0121,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,1.75,updated_assignment_14
2031-2032,6,SYN-SIS-000552,Synthetic Student 552,11,MATH-ALG2-H,Honors Algebra 2,honors,Y06-SEC-010,Honors Algebra 2 - Synthetic Section 07-10,TCH-003,Teacher 03,high,0.9878,Assignment 13,Assignment 14,64.54,64.78,true,true,0.24,64.4161,64.447,66.4314,1.9844,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,0.23999999999999488,updated_assignment_14
2031-2032,6,SYN-SIS-000558,Synthetic Student 558,11,MATH-ALG2-H,Honors Algebra 2,honors,Y06-SEC-010,Honors Algebra 2 - Synthetic Section 07-10,TCH-003,Teacher 03,high,0.9849,Assignment 13,Assignment 14,82.9,90.52,true,true,7.62,88.6113,86.8704,89.8781,3.0077,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,7.61999999999999,updated_assignment_14
2031-2032,6,SYN-SIS-000565,Synthetic Student 565,11,MATH-ALG2,Algebra 2,regular,Y06-SEC-006,Algebra 2 - Synthetic Section 07-06,TCH-002,Teacher 02,normal,0.9587,Assignment 13,Assignment 14,32.85,39.76,true,true,6.91,39.1524,32.6916,40.0648,7.3732,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,6.909999999999997,updated_assignment_14
2031-2032,6,SYN-SIS-000584,Synthetic Student 584,10,MATH-AP-PRECALC,AP Precalculus,ap,Y06-SEC-011,AP Precalculus - Synthetic Section 07-11,TCH-004,Teacher 04,normal,0.888,Assignment 13,Assignment 14,47.04,59.89,true,true,12.85,58.1634,53.4897,59.0064,5.5167,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,12.850000000000001,updated_assignment_14
2031-2032,6,SYN-SIS-000587,Synthetic Student 587,10,MATH-GEOM,Geometry,regular,Y06-SEC-003,Geometry - Synthetic Section 07-03,TCH-001,Teacher 01,high,0.9793,Assignment 13,Assignment 14,38.76,49.26,true,true,10.5,47.9592,41.9412,49.2344,7.2932,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,10.5,updated_assignment_14
2031-2032,6,SYN-SIS-000588,Synthetic Student 588,10,MATH-AP-PRECALC,AP Precalculus,ap,Y06-SEC-012,AP Precalculus - Synthetic Section 07-12,TCH-004,Teacher 04,normal,0.9257,Assignment 13,Assignment 14,55.11,62.75,true,true,7.64,61.3618,54.2187,58.777,4.5583,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,7.640000000000001,updated_assignment_14
2031-2032,6,SYN-SIS-000599,Synthetic Student 599,10,MATH-AP-PRECALC,AP Precalculus,ap,Y06-SEC-013,AP Precalculus - Synthetic Section 07-13,TCH-004,Teacher 04,at_risk,0.7607,Assignment 13,Assignment 14,0.0,48.71,false,true,-2.08,48.9261,46.021,55.3749,9.3539,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,,updated_assignment_14
2031-2032,6,SYN-SIS-000600,Synthetic Student 600,10,MATH-GEOM,Geometry,regular,Y06-SEC-004,Geometry - Synthetic Section 07-04,TCH-002,Teacher 02,normal,0.8902,Assignment 13,Assignment 14,31.32,0.0,true,false,,,34.2149,48.8528,14.6379,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2031-2032,6,SYN-SIS-000602,Synthetic Student 602,10,MATH-ALG2,Algebra 2,regular,Y06-SEC-007,Algebra 2 - Synthetic Section 07-07,TCH-002,Teacher 02,high,0.9549,Assignment 13,Assignment 14,38.92,48.14,true,true,9.22,47.0301,38.9506,44.8844,5.9338,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,9.219999999999999,updated_assignment_14
2031-2032,6,SYN-SIS-000608,Synthetic Student 608,10,MATH-ALG2,Algebra 2,regular,Y06-SEC-006,Algebra 2 - Synthetic Section 07-06,TCH-002,Teacher 02,normal,0.9718,Assignment 13,Assignment 14,45.98,52.35,true,true,6.37,51.3897,47.8798,53.0348,5.155,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,6.3700000000000045,updated_assignment_14
2031-2032,6,SYN-SIS-000620,Synthetic Student 620,10,MATH-ALG2,Algebra 2,regular,Y06-SEC-006,Algebra 2 - Synthetic Section 07-06,TCH-002,Teacher 02,high,0.9817,Assignment 13,Assignment 14,15.97,29.22,true,true,13.25,28.003,13.4718,23.881,10.4092,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,13.249999999999998,updated_assignment_14
2031-2032,6,SYN-SIS-000645,Synthetic Student 645,9,MATH-GEOM,Geometry,regular,Y06-SEC-003,Geometry - Synthetic Section 07-03,TCH-001,Teacher 01,at_risk,0.6827,Assignment 13,Assignment 14,15.27,27.56,true,true,12.29,26.9534,17.63,25.4425,7.8125,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,12.29,updated_assignment_14
2031-2032,6,SYN-SIS-000654,Synthetic Student 654,9,MATH-ALG2-H,Honors Algebra 2,honors,Y06-SEC-009,Honors Algebra 2 - Synthetic Section 07-09,TCH-003,Teacher 03,high,0.9875,Assignment 13,Assignment 14,52.33,51.33,true,true,-1.0,51.3395,50.34,51.1498,0.8098,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,-1.0,updated_assignment_14
2031-2032,6,SYN-SIS-000661,Synthetic Student 661,9,MATH-ALG2-H,Honors Algebra 2,honors,Y06-SEC-009,Honors Algebra 2 - Synthetic Section 07-09,TCH-003,Teacher 03,normal,0.9461,Assignment 13,Assignment 14,60.2,67.31,true,true,7.11,65.7168,62.08,69.945,7.865,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,7.109999999999999,updated_assignment_14
2031-2032,6,SYN-SIS-000663,Synthetic Student 663,9,MATH-GEOM,Geometry,regular,Y06-SEC-004,Geometry - Synthetic Section 07-04,TCH-002,Teacher 02,high,0.9664,Assignment 13,Assignment 14,21.09,28.7,true,true,7.61,28.565,19.91,29.1136,9.2036,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,7.609999999999999,updated_assignment_14
2031-2032,6,SYN-SIS-000670,Synthetic Student 670,9,MATH-GEOM,Geometry,regular,Y06-SEC-002,Geometry - Synthetic Section 07-02,TCH-002,Teacher 02,normal,0.8773,Assignment 13,Assignment 14,55.88,65.16,true,true,9.28,63.2441,53.93,61.673,7.743,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_14,9.279999999999994,updated_assignment_14
